"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
97,87,56,74,34,95,83,100,100,68,88,36,53,8,27.51,11.91,"9"
17.82,83,28,100,59,88,42,57,22,28,31,3.75,70,1,100,2,"2"
19,65,24,100,46,81,27,45,10.84,12,10,1,56,2.12,100,4,"2"
98,80,34,100,8,73,73,44,100,10,8,9.7,31.13,27,70,55,"8"
15.84,81,38,100,66,74,42,36,6,10,10,1,55,6,100,12.05,"2"
31.62,76,47,71,96,96,28,100,17,77,90,74,100,37,100,28.03,"9"
38,68,68,100,66,82,62,44,55,7,32.36,4.33,57,3,100,7,"1"
12,100,25,89,17,37,40,7.83,15.64,10,7,54,51,72,100,81,"5"
100,66,66,100,26.5,77,32,38,60,16.27,9,21,51,59,87,94,"8"
25.05,50,42,72,81,95,100,100,88,75,69,50,49,25,32,22.99,"1"
70,62,100,93,27,100,27,67,66,33,55,28.34,53.86,15,47,45,"8"
43,93,30,62,45,25,29.29,8.97,6,30,53,61,100,91,53,100,"8"
31,87,77,100,81,69,53,45,100,39,92,9,33,17.22,34.78,25,"3"
31,81,1,43,13,1,68,5.64,100,36,96,79,48,100,14.69,80,"0"
100,100,70,87,29,60,7.39,30,3,3.41,71,5,73,30,2,25,"6"
100,100,45,83,14,61,9.84,38,3,14,66,11.43,97,15,21,7,"6"
100,100,62,97,39,73,46,49,84,41,71,14,34,5.54,51.76,8,"5"
67,100,26,92,4.62,56,9,12,49,13.62,88,15,100,60,70,90,"0"
15,72,38,100,49,67,29,29,14.6,16,33,22,66,8,100,15.8,"2"
18.42,77,40,96,90,100,82,73,68,50,100,24,60,9.37,20,15,"3"
100,100,60,82,32,56,13,28,22,6.6,70,8,40,24,12.71,19,"6"
8.75,68,40,100,64,96,61,59,57,23,9,2.7,33,3,100,2,"1"
97,85,53,100,12,78,74,74,97,86,100,44,61,12,22.52,15.6,"9"
67,93,26,70,16.86,35,15,5.72,63,12,92,46,100,86,62,100,"0"
90,100,44,77,13,49,10.83,21,38,11.16,100,13,90,37,18,39,"6"
17,94,5,57,52,30,16,8.97,4.09,28,5,72,39,98,100,100,"5"
36,88,23,59,100,55,92,16,20,20.99,14.24,35,8,76,73,100,"5"
12.51,92,54,100,65,83,63,63,85,44,100,24,63,8,7,13,"3"
19,74,73,100,44,79,24,47,53,32,100,53,53,38,41,37.0833333333333,"4"
8,79,56,100,71,92,64,51,53,11,21.16,1,42,1,100,5.17,"1"
100,100,74,78,40,50,22.06,28,54,26,93,39,88,28,94,36.79,"4"
65,100,7,99,15.59,69,62,73,77,72,100,35,63,8,2,11.32,"9"
32,68,49,100,91,92,59,47,13,11,16.23,23,46,8.2,100,5,"2"
100,100,87,85,56,64,30,41,13,17,41,10.73,44,15,25.03,14,"6"
100,100,48,81,19,54,7,25,39,9.34,92,10,64,34,9.61,33,"6"
44,81,80,100,97,76,48,55,100,40,99,10,42,4.74,23.08,9,"3"
38,100,34,73,100,61,88,17,25,19.34,17.29,35,4,82,70,97,"5"
17.91,51,21,68,63,88,100,100,79,75,58,50,37,25,30,25.19,"1"
22,68,98,38,91,5.04,19.23,2,36,41,100,76,98,100,24,73,"8"
14,78,7,33,40,17.53,84,15,100,61,72,100,26,100,9.77,60,"0"
21.46,84,36,100,53,79,28,50,7,22,27,6.83,76,5,100,14,"2"
11.97,80,38,100,50,70,30,37,6.34,8,3,3,52,5,100,11.12,"2"
29.91,70,68,77,100,100,30,93,34,73,79,64,74,32,75,25.37,"9"
86,88,46,100,50,80,99,94,100,62,96,26,56,2,23.93,3,"9"
39,82,68,100,100,86,72,61,91,44,83,15,41,7.53,25.06,14,"3"
14,90,51,100,68,78,71,53,100,34,79,11,41,1,28.36,3.69,"3"
32,86,49,100,100,96,73,72,67,48,89,22,52,2,21.75,3.84,"3"
24,73,4.74,38,13,7.51,66,10,96,44,100,83,55,100,9,78,"0"
22.89,57,24,71,64,94,100,100,92,75,80,50,76,24,84,25.31,"1"
9,65,43,98,52,100,49,60,60,21,16.6,3.74,12,4,100,6,"1"
26,88,4.86,49,9,5,61,5.27,100,30,94,73,52,100,4,83,"0"
29,100,12,57,42,33,26,9.8,9.64,33,11,71,53,88,100,91,"5"
22,88,15,37,37,15.86,77,12,100,51,77,92,37,100,13.68,78,"0"
34,94,26,63,62,29,51,10.27,68,35,100,69,83,100,28.88,86,"8"
29,100,22,63,68,33,24,7.65,7.06,24,1,72,40,92,100,94,"5"
30,100,17,80,10.55,43,43,32,85,53,100,75,82,38,67,37.57,"4"
17.5,63,44,80,87,100,100,98,77,74,54,49,30,25,15,23.99,"1"
16.17,91,50,100,84,73,79,36,66,13.77,27,21,45,37,100,37,"7"
11,87,14,61,58,36,24,9.02,5.3,28,9,77,41,100,100,94,"5"
9,84,14,73,50,37,44,7.87,10,24,8.8,69,39,96,100,100,"5"
20.4,91,39,100,72,90,79,69,92,50,100,31,89,12,52,17.33,"3"
29,74,53,100,100,99,75,71,81,51,81,20,38,9.52,26.44,15,"3"
14,78,52,100,75,75,55,40,22,10,8.98,6,52,7,100,8.38,"2"
81,100,50,80,23,60,4,40,10.84,19,31,11.05,100,13,42,23,"6"
99,100,46,97,19,76,33,55,84,50,100,12,49,3.51,35.26,7,"5"
25,86,21.47,69,19,98,69,96,100,100,81,66,67,32,54,31.39,"7"
100,88,12,95,25,62,81,29,25,11.28,14.78,30,42,65,94,100,"8"
21.44,100,55,98,79,67,76,33,60,8.67,18.91,1,37,17,100,27,"7"
17.34,78,28,100,59,91,44,58,22,28,25,1,63,1.7,100,2,"2"
72,100,37,86,12,55,7.17,23,43,13.57,100,14,57,34,8,20,"6"
22.24,69,51,82,100,100,95,84,78,63,62,42,51,21,46,21.41,"1"
100,97,73,100,34,88,38,59,83,50,85,18,45,3.73,32.29,3,"5"
11,82,3.99,40,15,10.46,71,11,100,47,96,88,42,100,7,67,"0"
40,100,25,83,3,51,2,17,49,21.2,100,17,60,38,10.88,35,"6"
77,100,41,76,14,51,13.64,24,22,4.47,82,4,100,28,45,36,"6"
56,100,28,72,17.88,44,54,50,100,69,84,59,59,30,42,31.76,"4"
19.22,83,34,100,49,68,28,30,11.3,1,25,8.02,62,7,100,7,"2"
10.1,68,20,98,72,100,68,68,38,38,7,10,45,4.34,100,3,"2"
13,85,21,100,57,83,44,58,71,38,100,17,57,2,12.84,4.26,"3"
12,83,89,77,80,100,26.85,84,62,74,100,73,83,36,75,28.85,"9"
37,100,34,78,12.93,51,25,36,85,36,100,61,86,32,80,37.76,"4"
22.08,72,33,92,73,100,69,72,48,46,30,19,55,2.93,100,4.01,"2"
70,63,93,98,34.02,100,3,62,99,68,100,70,53,31,26,27.21,"9"
14.54,87,39,100,73,74,69,31,51,13.39,12,28,50,47,100,54,"7"
17,78,53,100,68,73,37,41,15.43,14,25,25,62,10.25,100,15,"2"
45,100,4,74,9.7,39,19,6,69,11.25,100,29,100,64,79,98,"0"
31,89,51,100,52,67,31,39,10.91,19,27,9,63,5.83,100,14,"2"
24.65,84,18,85,71,100,100,91,93,68,87,45,81,23,84,25.16,"1"
58,100,11,92,9.79,62,73,57,100,81,67,94,58,47,55,40,"4"
29,87,92,100,94,98,34,81,36,45,100,37,64,7,33.72,10.98,"5"
8,95,26,71,82,45,55,6.68,9.35,12,8.25,65,28,100,100,98,"5"
36,81,42,100,100,97,71,70,84,55,94,26,60,3.34,17.49,5,"3"
12.82,81,25,100,69,85,70,42,59,14.98,22,18,49,38,100,42,"7"
12.63,86,41,100,84,92,52,66,64,48,100,25,63,6,16,9.4,"3"
22,100,5.14,68,4.85,28,40,7.46,89,25,100,64,65,96,1,88,"0"
100,100,65,78,29,57,23.59,34,57,39,77,51,58,26,51,30.72,"4"
58,100,19,75,10.07,36,14,4.09,61,10,93,42,100,83,58,96,"0"
34,91,8,49,26,2,72,4.64,100,42,86,93,42,100,9.67,75,"0"
26.14,75,29,90,67,100,83,80,94,58,100,36,88,14,56,17.48,"3"
59,100,20,82,12.8,49,59,35,100,58,91,64,60,32,35,33.07,"4"
45,99,57,70,100,33,74,7.3,24.77,22,28,59,81,94,40,100,"8"
8,98,53,100,69,63,50,24,46,21.7,100,19,58,37,56.45,46,"7"
23,81,20.12,54,48,78,100,100,98,86,69,58,44,29,28,31.01,"1"
64,100,15,93,5.6,56,10,19,51,14.52,94,20,100,57,86,94,"0"
12,77,7.07,37,23,4.1,74,4,98,39,100,80,61,100,23,71,"0"
41,67,100,96,9,100,34.7533333333333,66,88,79,96,74,62,37,42,26.09,"9"
53,70,77,38,67,6.51,24.42,5,45,42,100,75,86,100,26,72,"8"
90,100,33,98,44,58,99,72,95,80,100,32,61,11.85,32.56,16,"9"
15.34,53,31,81,51,100,50,62,46,25,15,4.75,59,1,100,3,"1"
21.96,66,26,100,64,88,73,43,63,17.82,34,33,57,54,100,60,"7"
16,86,70,100,85,71,51,43,100,40,97,7,37,18.98,31.91,26,"3"
100,93,73,100,43,98,34,66,50,50,61,34,31,17,33.47,23.08,"5"
27.36,38,36,55,66,78,97,100,100,88,88,58,77,29,66,26.73,"1"
100,100,52,98,19,69,7.28,34,10,5.36,58,8,54,41,16,29,"6"
74,92,30,100,4.83,65,2,25,44,15.06,94,20,100,60,79,98,"0"
8,93,96,100,52,95,12,73,35,61,100,39,83,6.07,33.45,5,"5"
23,95,85,100,49,95,20,65,70,64,100,31,57,9.14,40.81,13,"5"
75,97,19.98,100,47,68,100,35,63,12.8,5,23,39,63,86,97,"8"
18.93,75,36,100,81,93,97,51,96,5,73,10.78,53,21,100,25,"7"
73,89,16,89,36.2,100,57,99,96,81,100,53,86,27,73,25.25,"9"
100,93,59,100,45,82,45,54,84,45,74,27,37,13,41.22,15.56,"5"
16.13,90,29,100,61,76,54,33,46,14.93,24,38,55,53,100,52,"7"
39,97,64,100,50,68,26,42,10.56,21,34,11,68,7.16,100,19,"2"
55,100,27.11,89,28,57,69,28,35,13.25,24,26,59,59,100,89,"8"
100,72,72,100,27,81,58,65,81,64,80,23,39,8.89,22.65,14,"9"
100,100,46,80,14,53,6.07,25,27,4.71,100,7,78,28,3,21,"6"
49,100,28,74,12.48,47,5,34,62,39,100,56,79,28,72,37.22,"4"
19.84,93,79,100,100,68,68,34,26,10.25,19,10,9,44,94,42,"7"
22.14,72,29,81,89,100,100,85,79,64,54,42,36,21,32,22.92,"1"
23.08,66,15,91,64,100,70,76,49,51,32,24,45,1,100,5.07,"2"
2,100,53,99,63,66,42,33,18,12.37,10.4,22,38,37,100,41,"7"
17.08,85,20,100,47,85,33,53,12,23,27,4.98,64,2,100,9,"2"
21.93,90,42,99,89,100,84,79,62,41,57,31.4,53,38,100,37,"7"
99,100,54,85,17,54,15,18,71,23.31,100,21,37,36,13.32,18,"6"
38,85,36,100,49,70,32,39,12.54,17,23,1,64,5.24,100,16,"2"
14,85,51,57,66,17,18.72,8.08,35,36,91,68,100,100,23,85,"8"
51,87,78,100,95,79,99,50,100,22,71,6,35,1,41.97,7.37,"3"
100,80,100,100,77,97,63,77,43,58,29,38,11,19,41.95,22.52,"1"
11,90,1,57,9.63,19,41,8,84,27,100,64,87,100,35,97,"0"
7.99,71,26,100,47,69,31,31,1,6.7,7.7,7,50,7,100,5,"2"
100,100,86,98,72,81,55,64,41,47,24,30,14,13,39.01,15.95,"1"
100,89,36,100,19,78,87,80,74,71,100,35,69,8,15.13,13.63,"9"
30,84,43,61,100,38,64,4,12.09,9.86,6,47,25,88,90,100,"5"
52,89,15,63,13.13,21,33,6.68,73,16,100,54,88,96,48,100,"0"
100,81,60,100,33,68,82,62,94,80,87,36,52,3.97,21.37,2,"9"
25.61,52,44,69,79,91,100,100,88,74,72,49,57,23,51,21.18,"1"
100,100,52,92,20,65,10.22,36,12,6,71,5.1,90,24,34,25,"6"
100,84,19,100,20.38,67,64,34,67,13.46,5,19,58,55,77,89,"8"
22.79,60,45,83,66,100,56,64,62,27,44,3.23,36,1,100,1,"1"
10.59,68,14,97,67,100,69,68,36,39,1,11,48,7,100,8.48,"2"
63,100,45,97,20.06,78,13.16,61,49,44,100,47,63,24,37,31.37,"4"
21.2,57,24,68,60,88,100,100,93,74,83,50,72,25,69,25.15,"1"
47,100,5,78,13.24,46,74,47,100,79,74,64,38,32,3,35.2,"4"
100,100,56,88,16,58,5.45,23,40,21.56,97,18,54,42,6.35,22,"6"
73.45,100,47.9,86,18,72,36,57,55,43,82,28,100,14,73,18.89,"1"
34,74,64,45,100,10,6,6.38,23,36,83,70,91,100,20.12,82,"8"
14.18,95,51,100,73,92,64,47,62,15.27,39,17,52,33,100,36,"7"
76,100,25,87,50,60,86,86,91,69,100,31,55,9,29.02,14.95,"9"
20.22,85,24,100,49,90,38,56,24,24,37,7.69,69,4,100,14,"2"
9.89,76,13,100,63,100,100,96,75,73,50,48,30,23,46,30.2,"7"
100,86,43,100,21.43,74,45,38,66,16.43,36,25,63,64,90,94,"8"
54,73,94,82,73,100,73,79,100,53,81,19,42,2,46.33,5.41,"9"
24.91,100,57,100,68,81,72,62,91,43,100,24,62,8,9,11.78,"3"
23.63,98,54,100,70,84,67,65,80,45,100,27,94,9,44,16.05,"3"
6,81,40,100,57,78,38,50,11,24,5.54,5,51,8,100,13.79,"2"
100,79,30,100,18,66,79,27,21,11.9,25.91,35,87,65,67,92,"8"
100,94,43,100,31,59,91,69,100,86,98,39,65,4.78,27.68,1,"9"
38,91,77,100,100,87,73,67,66,46,82,24,48,8,23.58,13.17,"3"
50,100,22.59,89,16,62,66,73,82,60,100,23,56,2,2,5.77,"9"
18,82,6,46,56,39,36,5.05,9.38,5,11,63,49,95,100,100,"5"
56,93,14.36,95,60,65,100,29,49,16.98,9,28,39,66,37,100,"8"
66,100,38,100,14.41,71,2,44,64,36,98,61,94,34,100,39.46,"4"
45,100,9.19,74,8,48,100,45,76,72,63,64,47,31,28,36.65,"4"
19.94,85,47,93,100,100,66,69,37,35,16,22.07,21.26,17,41,26,"7"
20,87,60,100,100,94,75,68,83,40,87,12,46,3.47,26.95,1,"3"
90,100,51,76,21,49,11,19,50,14.27,100,12,52,23,11.66,15,"6"
39,97,17,63,65,49,45,7.21,10.99,5,14,60,42,100,100,98,"5"
12.76,94,56,100,59,78,44,39,36,15.58,15,25,44,38,100,42,"7"
37,97,84,100,92,69,51,48,4,35,12.2,18,49,7,100,11.46,"2"
2,85,40,100,81,72,64,26,38,14.61,11.07,35,46,38,100,39,"7"
61,100,19.29,90,53,61,100,29,56,10.97,9,21,50,57,86,92,"8"
18,80,62,65,61,100,36,92,84,69,100,28,53,7,36.78,11.58,"9"
20.01,90,41,96,99,100,67,57,54,16.91,32,5,42,25,100,31,"7"
86,86,69,100,27,69,82,33,46,13.65,21.57,31,66,65,100,94,"8"
13,72,1,33,27,7.64,75,10,100,44,88,83,43,100,10.2,82,"0"
31,76,52,64,76,26,13,10.8,19.23,35,53,69,100,100,16,88,"8"
100,100,56,93,29,63,13,31,28,4.31,74,7,46,29,13.43,17,"6"
61,100,32,73,14.6,44,28,36,81,54,100,63,90,31,80,36.04,"4"
26.65,69,56,84,100,100,97,80,84,59,62,39,38,19,34,21.45,"1"
60,98,50,100,20,70,9.55,38,7,8,83,6.78,100,24,13,20,"6"
61,98,20,75,16.49,32,26,7.11,73,14,100,53,84,96,36,100,"0"
61,100,49,80,20,56,14.04,32,54,23,100,40,74,26,71,36.57,"4"
53,100,7.47,77,10,45,100,43,87,66,47,77,35,39,31,39.05,"4"
52,87,78,100,100,84,77,59,96,37,82,13,42,3,32.53,5.2,"3"
19,84,63,100,100,93,60,73,74,51,96,30,50,13,25.07,16.15,"3"
27.8,52,21,71,53,94,88,100,85,75,79,49,76,24,100,25.45,"1"
31.38,84,43,100,98,98,87,70,63,48,100,22,52,10,23.1,13.94,"3"
29,69,48,100,61,71,35,35,6.38,5,5.09,7.4,50,2,100,14,"2"
88,100,39,100,67,59,77,17,5,12.19,12.69,31,60,61,100,94,"8"
90,78,57,100,22.5,72,65,37,73,14.56,3,23,43,64,100,84,"8"
100,100,62,85,30,61,7,32,9.78,7.37,40,7.15,34,25,1,11,"6"
20,100,13,75,45,41,31,6.95,6.05,12,6,57,44,89,100,100,"5"
42,85,24,51,75,38,52,4,16.53,10.25,17,49,50,85,100,100,"5"
34,87,59,100,56,60,34,24,17.02,7.94,18,9,59,4,100,2,"2"
100,100,74,78,35,57,26.6,37,67,37,89,45,65,23,52,32.63,"4"
19.37,37,30,58,65,78,100,100,75,77,52,52,33,26,18,28.28,"1"
53,86,14,64,13.54,29,26,7.09,76,18,100,52,98,87,49,100,"0"
90,64,87,100,21,100,30.9,67,66,62,100,69,66,34,51,26.88,"9"
100,100,63,81,34,57,10,30,10,9.76,48,10,38,37,11.86,24,"6"
3,68,21,100,52,87,32,51,12.54,22,15,4,61,5.62,100,14,"2"
21.95,89,56,100,95,76,72,37,47,9.38,10,3,32,16,100,22,"7"
22.85,88,34,99,70,100,68,71,46,43,33,11,64,2.78,100,5,"2"
34,63,51,100,65,72,39,33,7.91,5,2,8,53,7,100,12.27,"2"
21,68,39,100,49,76,27,43,6.64,12,3,6.99,53,2,100,13,"2"
4,68,19,100,43,75,35,35,11,6.45,7.69,5,47,13,100,7,"2"
20.94,99,57,100,84,73,74,36,67,14.92,2,18,26,32,100,40,"7"
100,98,53,100,18,70,8.79,32,21,20.98,66,17,47,47,18,24,"6"
55,75,33,100,42.51,77,46,69,85,74,100,40,85,10,35,14.79,"9"
78,100,26,100,5.13,64,3,24,46,14.2,93,18,100,59,87,97,"0"
16.49,87,23,100,44,80,36,52,23,25,25,5.19,63,2.35,100,4,"2"
10,76,49,100,73,74,47,43,100,31,83,2,15,18.51,29.5,25,"3"
2,85,29,100,37,71,23,41,10.53,15,17,5.46,58,2,100,8,"2"
86,100,59,92,19,64,11.92,33,21,2,94,5.02,100,25,26,20,"6"
7,54,31.89,89,71,100,100,83,71,45,45,6,32,14.72,67,21,"7"
10,86,51,100,83,81,59,51,91,41,100,11,51,3.25,14.69,7,"3"
5,96,66,100,72,65,54,24,31,12.66,17.22,38,41,53,100,51,"7"
17,73,41,100,55,73,32,39,9.61,12,13,4,58,4.04,100,8,"2"
86,86,10,100,12,67,84,40,71,14.6,16.76,18,35,58,100,89,"8"
44,79,69,100,99,88,69,62,100,41,97,12,47,8.51,24.01,15,"3"
70,100,52,85,22,62,16.98,39,70,40,100,49,78,25,66,32.2,"4"
56,83,78,50,100,11,19,6.5,25,37,80,71,83,100,16.59,84,"8"
100,100,63,90,23,63,5.61,32,16,2.46,70,6,53,31,7.39,22,"6"
100,92,61,100,31,80,20,42,58,44,73,20,38,1,28.24,7.21,"5"
16.88,96,53,100,95,71,85,28,54,12.21,4,20,43,31,100,37,"7"
8.42,61,37,90,53,100,52,64,45,28,2,2.78,27,2,100,3,"1"
23.97,71,41,83,100,100,94,82,75,61,62,41,53,20,44,20.19,"1"
50,100,19,86,12.69,71,11,55,43,42,80,31,100,16,89,29.03,"4"
58,92,68,45,86,10.63,16.67,6.53,22,40,94,71,100,100,14,85,"8"
100,100,70,90,84,75,89,74,95,42,96,11,49,2.09,41.43,4.14,"9"
17.11,98,55,98,100,100,72,63,52,23,40,20.52,31,35,86,40,"7"
11,72,38,100,53,72,34,35,5,3,6.71,1,52,3.34,100,1,"2"
95,67,69,100,26,94,16.19,51,11,7,60,7.08,100,28,94,75,"0"
10,79,14,68,85,47,64,2,10.88,11.56,7.5,49,12,93,100,100,"5"
32,100,2,74,10.6,45,55,43,100,64,75,53,47,27,43,32.93,"4"
100,100,61,92,33,63,11,31,8,18.97,52,19,48,43,17.04,28,"6"
26,71,48,100,74,74,46,37,5,12,4.45,11,50,8,100,11.37,"2"
83,100,72,82,26,59,19.53,35,85,39,100,54,77,27,55,30.48,"4"
53,65,100,93,31,100,32.26,69,71,60,100,64,67,32,32,24.69,"9"
1,66,32,100,35,99,32,62,32,26,7.11,3.49,11,1,100,5,"1"
79,100,33,72,18.87,41,34,20,100,32,92,63,60,32,31,38.73,"4"
58,100,23,77,12.87,47,52,34,100,50,97,62,76,31,70,34.15,"4"
72,100,23,84,64,44,64,3.88,21.22,11,41,49,100,80,58,99,"8"
12,60,24,100,58,90,37,47,11.33,14,1,8.55,51,7.24,100,15,"2"
14.93,96,59,100,100,89,74,54,47,19,28,22.08,35,39,92,48,"7"
38,100,7,83,8.74,35,32,4,81,10,100,54,70,92,21,90,"0"
15.14,95,45,100,92,99,70,63,52,25,38,21.38,51,33,100,37,"7"
99,100,64,81,25,52,6,19,55,21.32,100,25,60,45,9,31,"6"
12.03,68,23,100,54,88,41,34,10,8.22,22,7,61,8,100,8,"2"
11,87,46,100,74,88,55,61,100,49,89,21,50,2,7.54,4.3,"3"
28,100,33,79,11.38,49,12,21,71,26,100,54,63,34,48,36.77,"4"
27.21,62,54,76,87,98,100,100,98,75,98,50,98,24,96,24.35,"1"
44,89,85,100,88,75,64,56,100,41,82,12,41,7.67,29.37,14,"3"
13.18,83,33,100,68,88,67,65,79,42,100,21,59,7,6,10.66,"3"
60,100,16,74,12.24,43,67,33,100,62,88,61,55,30,24,33.28,"4"
14,70,50,100,49,86,47,41,32,2,34.23,6.51,73,4,100,6,"1"
10,100,5.15,58,10,17,60,8.67,100,32,94,73,46,97,12.37,74,"0"
8,95,97,100,43,94,2,69,47,64,100,38,72,15.47,30.41,19,"5"
11.69,63,24,100,62,81,42,37,3,6,1,9,51,2,100,8.85,"2"
21,98,6,52,55,37,22,9.69,1,33,7.95,81,41,100,100,99,"5"
67,100,28,75,2,48,7.27,19,46,16.82,100,15,67,39,7,41,"6"
16,76,71,94,100,100,43,83,45,52,93,28,66,2,47.79,7.192,"5"
13.5,67,17,100,56,99,49,55,25,16,14,13.42,56,13,100,13,"2"
6,66,32,98,55,100,44,62,30,26,6.59,6.03,50,5,100,7,"1"
17.95,89,15,100,56,97,39,64,12,33,12,2,57,4.8,100,11,"2"
20,100,42,87,29,67,13,48,9.64,28,13,9,55,2,100,10.29,"2"
100,99,40,91,66,49,58,8,21.71,8.28,22,41,66,76,72,100,"8"
2,60,9.49,18,33,15.74,73,19,100,53,98,92,54,100,14,83,"0"
16,68,37,100,63,90,45,48,16,11,10.1,1,50,4.02,100,8,"2"
66,100,27,88,42,50,45,11,11.95,13.61,7,34,53,53,100,70,"8"
42,99,10,59,15,12,66,8.23,100,38,98,84,49,100,14.09,75,"0"
68,100,23,80,17.78,40,19,4,70,5,100,42,100,86,57,93,"0"
81,100,3,89,38.33,68,86,83,100,65,100,37,95,9,43.57,15.3,"9"
100,100,52,83,17,52,2,18,40,19.73,81,23,55,47,7.06,38,"6"
9.36,78,36,100,38,97,37,60,35,23,1,7.27,43,7,100,6,"1"
45,100,10,66,8.76,26,31,8.42,75,29,100,66,72,95,24,74,"0"
100,100,58,88,22,63,5.09,31,8,6.84,56,9,59,39,7,47,"6"
33,75,69,100,90,94,79,55,55,19,28.52,4.84,34,3,100,7,"1"
14.65,90,50,100,100,94,84,52,62,13,42,15.97,40,40,92,44,"7"
26,80,42,100,46,71,26,39,11.33,11,34,2,69,5.75,100,22,"2"
68,90,91,100,56,88,96,81,100,43,84,7,40,11.67,43.94,20,"9"
26,73,34.67,66,38,100,50,90,20,47,6,19,52,6.51,100,9,"2"
76,91,100,85,69,100,76,82,100,55,89,14,41,13.27,44.91,21,"9"
25,100,75,99,78,57,63,13,42,14.65,17.03,29,47,41,100,36,"7"
3,72,26,100,50,80,31,48,9.78,19,13,12,65,7.14,100,17,"2"
99,100,33,82,23.99,52,100,53,95,83,78,90,70,35,70,36.17,"4"
100,100,60,93,22,70,8.17,35,14,4.26,60,6,65,38,21,49,"6"
100,100,61,83,94,89,91,71,93,40,93,11,47,2,45.11,4.38,"9"
25,68,51,100,52,78,54,42,54,5,23.01,3.73,43,1,100,1,"1"
47,85,76,100,83,73,56,53,100,38,90,11,44,2.51,24.73,7,"3"
13,78,41,100,77,83,35,56,79,50,100,19,52,6.61,8.95,11,"3"
100,100,63,99,28,85,27,49,67,40,88,16,46,4.4,26.22,1,"5"
4,74,38,100,55,71,37,35,6,5,4.31,7,50,6,100,9.2,"2"
12,87,56,64,83,27,21,8.58,14.69,29,55,62,100,95,9,100,"8"
100,94,67,100,39,100,37,68,62,52,58,32,28,16,37.42,20.12,"5"
20,95,10,37,38,16.22,78,11,100,57,73,100,33,96,14.05,62,"0"
100,98,71,100,49,99,47,70,75,55,56,32,28,15,34.32,18.42,"5"
23,81,65,100,92,74,67,45,97,35,100,4,38,9.42,29.82,17,"3"
18.81,88,47,100,79,76,85,40,83,4,65,7.93,48,28,100,34,"7"
100,100,89,91,68,76,53,61,32,46,21,30,11,15,30.76,17.54,"1"
11.64,87,52,100,96,82,45,58,39,42,100,28,73,4,8,5.66,"3"
44,83,76,100,82,75,58,58,100,45,90,15,45,5.71,17.54,11,"3"
58,94,80,100,81,71,73,44,100,21,75,1,31,8.2,37.79,13,"3"
16.36,91,35,100,100,97,74,65,38,32,23,28.97,2,34,59,38,"7"
14.85,88,44,100,80,83,40,62,58,44,100,25,70,5,21,8.58,"3"
58,100,11,60,13.68,10,62,9.07,100,44,96,94,33,97,10,49,"0"
59,100,34,78,7,49,6.98,18,48,18.5,100,17,68,43,11,47,"6"
4,84,38,100,51,76,38,50,17,25,8.36,7.48,49,3,100,4,"2"
27,93,7,49,15,5.84,66,1,100,41,91,87,39,100,8.01,68,"0"
100,100,48,99,12,68,5,30,39,4.86,91,8,59,37,8.84,35,"6"
23,100,3.63,56,8,9,58,7.69,98,31,100,79,55,99,17,67,"0"
16.56,87,53,100,87,71,73,32,38,13.68,2,26,35,47,100,53,"7"
100,96,66,100,25,69,6.85,33,18,4.52,82,8,66,35,11,16,"6"
35,75,55,100,86,85,66,55,100,36,87,7,37,11.34,35.54,22,"3"
100,100,91,90,76,75,62,60,44,45,29,30,15,15,41.27,18.08,"1"
83,100,30.31,91,54,66,100,34,68,12.57,5,11,11,48,38,85,"8"
1,64,29,100,34,79,28,32,16.17,1,8,3.62,54,2,100,2,"1"
88,100,65,83,33,54,19.21,30,65,27,100,48,98,31,94,37.52,"4"
67,96,7,83,66,56,100,23,34,17.01,19.16,30,24,68,24,100,"8"
14.08,96,45,100,60,66,55,31,40,11.39,11,30,45,48,100,56,"7"
21,100,48,66,83,32,48,9.38,36,29,86,62,100,95,28.94,95,"8"
17.92,93,42,100,69,72,68,36,66,12.43,42,15,50,33,100,35,"7"
100,93,76,100,41,98,39,77,67,61,56,35,29,16,30.22,19.82,"5"
100,100,58,95,23,68,1,38,9.03,5,55,7.67,57,25,7,19,"6"
16.7,95,39,100,58,70,45,30,35,14,18,38,58,47,100,49,"7"
16.68,98,35,100,75,75,63,43,47,10,28,8.95,19,19,100,30,"7"
16,89,8.98,68,28,92,95,100,100,89,83,58,68,27,65,31.76,"7"
93,100,47,90,9,61,11.36,27,35,3.58,100,4,84,31,18,27,"6"
19.38,86,43,100,97,91,100,57,71,26,39,21.53,31,35,85,30,"7"
100,100,47,97,43,75,91,90,92,67,92,24,51,5.22,27.16,9,"9"
100,100,21.54,91,32,54,92,20,17,12.1,19,36,75,71,47,92,"8"
32,94,70,100,100,94,71,76,51,55,53,30,37,10,31.91,15.08,"3"
58,100,15,81,11.96,34,32,4.02,81,6,100,49,77,92,29,94,"0"
23,75,39,97,95,100,100,70,65,42,23,18,12,5.64,69,1,"2"
11,100,10.8,82,6,52,65,57,100,83,77,60,54,31,36,32.7,"4"
33,80,24,99,82,100,82,77,84,53,100,30,67,9,27.21,14.7,"3"
20,100,7,68,34,34,44,7.48,28.27,18,63,48,100,81,27,79,"8"
8,69,10.58,91,45,100,100,93,75,70,49,47,26,23,26,33.33,"7"
